brand,model,title,colorway,release_date,retail_price,resale_price,product_url,image_url,platform,search_query
Nike,Air Jordan 1 Retro High,Air Jordan 1 Retro High,"OG ""Shattered Backboard""",,$185,,https://www.nike.com/t/air-jordan-1-retro-high-og-shattered-backboard-mens-shoes-Xqtsfw/DZ5485-008,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/81d10257-65bc-45c1-8970-5449316928c6/AIR+JORDAN+1+RETRO+HIGH+OG.png",Nike,Air Jordan 1 Retro High
Nike,Air Jordan 1 Retro High,Air Jordan 1 Retro High,"OG ""Baroque Brown and Sail""",,$185,,https://www.nike.com/t/air-jordan-1-retro-high-og-baroque-brown-and-sail-womens-shoes-Hnf3kV/FD2596-200,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d08afd69-6d2a-4aec-a236-5eaed48964c0/WMNS+AIR+JORDAN+1+RETRO+HI+OG.png",Nike,Air Jordan 1 Retro High
Nike,Nike Dunk Low,Nike Dunk Low,Retro,,$120,,https://www.nike.com/t/dunk-low-retro-mens-shoes-5FQWGR/IM2222-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1f434ef1-6052-4972-a36e-cb1560e07f16/NIKE+DUNK+LOW+RETRO.png",Nike,Nike Dunk Low
Nike,Nike Dunk Low,Nike Dunk Low,,,$92,,https://www.nike.com/t/dunk-low-big-kids-shoes-R7fvzz/HF9980-600,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ef744c7c-d9be-4907-9cc6-fbfd4a61ed1a/NIKE+DUNK+LOW+GS.png",Nike,Nike Dunk Low
Nike,Nike Dunk Low,Nike Dunk Low,,,$120,,https://www.nike.com/t/dunk-low-womens-shoes-ktc1HMbt/DD1503-103,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/28b83dfa-2798-43b2-9950-46ab230dae52/W+NIKE+DUNK+LOW.png",Nike,Nike Dunk Low
Nike,Nike Dunk Low,Nike Dunk Low,SE,,$102,,https://www.nike.com/t/dunk-low-se-big-kids-boys-shoes-lsy3krRk/HV4768-001,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cb7b8d13-6b55-47b0-bc73-2acd878d176d/NIKE+DUNK+LOW+SE+%28GS%29.png",Nike,Nike Dunk Low
Nike,Nike Dunk Low,Nike Dunk Low,,,$57,,https://www.nike.com/t/dunk-low-baby-toddler-shoes-C6spohtb/FB9107-010,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/57cb94ba-9ee2-4eab-a45d-c48e6460c149/NIKE+DUNK+LOW+%28TDE%29.png",Nike,Nike Dunk Low
Nike,Air Force 1,Air Force 1,Nike  '07,,$115,,https://www.nike.com/t/air-force-1-07-mens-shoes-jBrhbr/CW2288-111,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4f37fca8-6bce-43e7-ad07-f57ae3c13142/AIR+FORCE+1+%2707.png",Nike,Air Force 1
Nike,Air Force 1,Air Force 1,Nike  '07,,$115,,https://www.nike.com/t/air-force-1-07-womens-shoes-b19lqD/DD8959-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e777c881-5b62-4250-92a6-362967f54cca/WMNS+AIR+FORCE+1+%2707.png",Nike,Air Force 1
Nike,Air Force 1,Air Force 1,Nike  '07 EasyOn,,$115,,https://www.nike.com/t/air-force-1-07-easyon-womens-shoes-q2Nz01/DX5883-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f153b4e4-9069-44ae-bf86-f70ae8ecbaa1/W+AIR+FORCE+1+%2707+FLYEASE.png",Nike,Air Force 1
Nike,Air Force 1,Air Force 1,Nike  LE,,$90,,https://www.nike.com/t/air-force-1-le-big-kids-shoes-3JNSvS/DH2920-111,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d9f1d9ee-a848-4a36-aab9-48b241078ebb/AIR+FORCE+1+LE+%28GS%29.png",Nike,Air Force 1
Nike,Air Max 90,Air Max 90,Nike  Premium,,$145,,https://www.nike.com/t/air-max-90-premium-mens-shoes-with-reflective-accents-FJdh9VXk/HV4517-002,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7a5b9a2b-08b7-48ec-80f6-29d18c07a4bc/NIKE+AIR+MAX+90+PRM.png",Nike,Air Max 90
Nike,Air Max 90,Air Max 90,Nike,,$135,,https://www.nike.com/t/air-max-90-womens-shoes-2ZsM2w/IM4613-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9844cda3-3f4b-4d26-ab90-3b169fee8ce7/WMNS+AIR+MAX+90.png",Nike,Air Max 90
Nike,Air Max 90,Air Max 90,Nike,,$135,,https://www.nike.com/t/air-max-90-mens-shoes-bAZ6AeHT/DM0029-800,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f0fded68-db96-4381-aabd-3b3469511f0f/AIR+MAX+90.png",Nike,Air Max 90
Nike,Air Max 90,Air Max 90,Nike  EasyOn,,$82,,https://www.nike.com/t/air-max-90-easyon-little-kids-shoes-FRPKnC/IH1417-034,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/77e85659-d629-45df-a6af-83e1618150fb/AIR+MAX+90+EASYON+LTR+%28PS%29.png",Nike,Air Max 90
Nike,Air Max 90,Air Max 90,Nike  LTR,,$102,,https://www.nike.com/t/air-max-90-ltr-big-kids-shoes-S1w7pf/CD6864-133,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9b98f9e5-dd68-4612-ad71-8279030dce9b/NIKE+AIR+MAX+90+LTR+%28GS%29.png",Nike,Air Max 90
